travelCode,userCode,from,to,flightType,price,time,distance,agency,date
1,456,Houston,Jacksonville,firstClass,2099.36,10.43,4222,CloudFy,2024-05-20
2,332,Denver,Charlotte,firstClass,934.31,5.87,2079,FlyingDrops,2024-04-14
3,90,Philadelphia,New York,business,1011.46,8.21,3261,SkyWay,2023-07-17
4,72,Fort Worth,Charlotte,business,1036.69,7.0,3186,Cloudy,2023-07-09
5,489,Austin,San Diego,economic,386.98,6.35,2636,FlyingDrops,2023-10-01
6,32,San Jose,Atlanta,business,165.41,2.08,593,JetSet,2023-08-30
7,395,Houston,Seattle,firstClass,882.43,4.72,1808,FlyingDrops,2024-12-21
8,233,Houston,Austin,firstClass,935.27,5.45,2309,JetSet,2023-06-06
9,423,Atlanta,Jacksonville,firstClass,2726.47,11.87,4999,CloudFy,2024-11-11
10,58,San Diego,Chicago,business,1161.47,9.61,4159,Rainbow,2024-07-31
11,227,Boston,Denver,economic,683.91,10.52,4896,Rainbow,2024-06-16
12,233,San Antonio,Atlanta,firstClass,591.19,4.34,1244,CloudFy,2023-02-26
13,371,Denver,Columbus,firstClass,511.63,3.28,972,Rainbow,2023-11-12
14,359,Fort Worth,Dallas,economic,280.41,5.94,2285,Rainbow,2023-12-19
15,393,Boston,Los Angeles,economic,631.17,9.28,4367,JetSet,2023-05-19
16,42,Columbus,Jacksonville,firstClass,2416.84,10.15,4174,JetSet,2024-01-20
17,271,Boston,Phoenix,business,1251.91,7.37,3348,CloudFy,2024-02-07
18,273,San Diego,New York,economic,480.3,7.08,2944,Cloudy,2024-03-10
19,17,San Diego,Dallas,firstClass,1392.06,7.4,3335,AirGo,2023-04-26
20,307,Columbus,New York,economic,340.53,4.98,2188,JetSet,2024-04-02
21,387,Los Angeles,Dallas,business,224.25,2.83,862,AirGo,2023-08-11
22,164,Los Angeles,Philadelphia,business,1039.9,6.59,2869,SkyWay,2024-08-12
23,114,Atlanta,Austin,economic,532.41,7.76,2972,Cloudy,2024-06-17
24,25,San Jose,Dallas,economic,281.65,5.31,1934,FlyingDrops,2024-05-22
25,387,Fort Worth,Boston,firstClass,1730.08,8.93,3910,SkyWay,2023-07-08
26,469,Seattle,San Diego,economic,381.22,7.71,2963,Rainbow,2024-04-19
27,170,Boston,Columbus,firstClass,2079.9,10.38,4841,JetSet,2023-07-28
28,138,Chicago,Seattle,firstClass,705.95,3.82,1257,Cloudy,2023-02-22
29,287,Atlanta,Los Angeles,economic,316.88,5.79,2041,CloudFy,2024-11-18
30,493,Seattle,San Antonio,firstClass,1128.92,7.9,2983,JetSet,2023-07-14
31,398,Houston,Denver,economic,292.23,5.44,2175,FlyingDrops,2023-11-26
32,239,Fort Worth,Seattle,business,960.41,7.85,3443,Rainbow,2024-05-24
33,380,Seattle,Austin,economic,434.02,8.04,3536,CloudFy,2023-08-15
34,195,New York,San Jose,business,997.36,8.78,3920,SkyWay,2023-08-24
35,379,San Diego,Denver,business,1137.0,7.42,3265,Cloudy,2024-10-19
36,95,Charlotte,Philadelphia,business,1127.36,7.52,3385,SkyWay,2024-05-15
37,212,Los Angeles,Boston,economic,177.38,4.13,1108,CloudFy,2023-01-07
38,31,San Diego,Chicago,business,522.59,3.99,1737,SkyWay,2024-01-18
39,7,Atlanta,Seattle,business,1370.52,9.52,4496,Rainbow,2024-02-26
40,221,Denver,Dallas,business,988.18,6.22,2848,AirGo,2024-11-21
41,130,Philadelphia,Houston,economic,630.62,10.31,4795,AirGo,2024-06-23
42,125,Jacksonville,Dallas,firstClass,534.91,3.35,1147,JetSet,2024-08-01
43,48,San Diego,Austin,business,410.33,3.8,1160,Cloudy,2023-02-02
44,43,Fort Worth,Columbus,business,996.01,9.38,4399,Cloudy,2023-06-25
